Plate,Repeat,Well,Type,Time,Absorbance @ 570 (A)
1.0,1.0,A01,M,0.0001946759259259259,1.3389247366019028
1.0,1.0,A02,M,0.00020891203703703705,1.57840649922082
1.0,1.0,A03,M,0.00022314814814814815,1.5535520515368584
1.0,1.0,A04,M,0.00023738425925925926,1.6342311834047136
1.0,1.0,A05,M,0.00025162037037037037,0.534370287042181
1.0,1.0,A06,M,0.00026585648148148144,0.5588284753168266
1.0,1.0,A07,M,0.0002800925925925926,0.7961006853445906
1.0,1.0,A08,M,0.0002943287037037037,0.7941180895410627
1.0,1.0,A09,M,0.0003085648148148148,0.7523444803692559
1.0,1.0,A10,M,0.0003228009259259259,0.7310260438807482
1.0,1.0,A11,M,0.00033703703703703706,0.5362736837550657
1.0,1.0,A12,M,0.00035127314814814814,0.5370053964017203
1.0,1.0,B01,M,0.00039375,1.5065437176079568
1.0,1.0,B02,M,0.0004079861111111111,1.5884289442330815
1.0,1.0,B03,M,0.00042222222222222227,1.5233032691247683
1.0,1.0,B04,M,0.0004364583333333333,1.6266893922437378
1.0,1.0,B05,M,0.0004506944444444444,0.4760957957693837
1.0,1.0,B06,M,0.00046493055555555556,0.5246224886136158
1.0,1.0,B07,M,0.00047916666666666664,0.7472368324752487
1.0,1.0,B08,M,0.0004934027777777778,0.7934870850275046
1.0,1.0,B09,M,0.0005076388888888889,0.8392175650726781
1.0,1.0,B10,M,0.000521875,0.7164693842560694
1.0,1.0,B11,M,0.0005361111111111111,0.4649958957518914
1.0,1.0,B12,M,0.0005503472222222223,0.5517522375978923
1.0,1.0,C01,M,0.0005928240740740741,1.5662852294227254
1.0,1.0,C02,M,0.0006070601851851852,1.7251739119721956
1.0,1.0,C03,M,0.0006212962962962962,0.8765157016204044
1.0,1.0,C04,M,0.0006355324074074075,0.9455106806650023
1.0,1.0,C05,M,0.0006497685185185185,0.46702238184627864
1.0,1.0,C06,M,0.0006640046296296296,0.49197684829515076
1.0,1.0,C07,M,0.0006782407407407408,0.7738840996635856
1.0,1.0,C08,M,0.0006924768518518518,0.7294072738502864
1.0,1.0,C09,M,0.0007067129629629629,0.7236091069405883
1.0,1.0,C10,M,0.000720949074074074,0.7563292116522092
1.0,1.0,C11,M,0.0007351851851851852,0.4556358412121914
1.0,1.0,C12,M,0.0007494212962962962,0.5099035949938892
1.0,1.0,D01,M,0.0007918981481481481,1.8884887662973187
1.0,1.0,D02,M,0.0008061342592592593,1.538280425094421
1.0,1.0,D03,M,0.0008203703703703703,0.6314157564769417
1.0,1.0,D04,M,0.0008346064814814814,0.5521769755113585
1.0,1.0,D05,M,0.0008488425925925926,0.4990497436378682
1.0,1.0,D06,M,0.0008630787037037038,0.47721659887994916
1.0,1.0,D07,M,0.0008773148148148147,0.8535601465336097
1.0,1.0,D08,M,0.0008915509259259258,0.7955812856420077
1.0,1.0,D09,M,0.0009057870370370371,0.5922908244739714
1.0,1.0,D10,M,0.000920023148148148,0.6229619177382332
1.0,1.0,D11,M,0.0009342592592592592,0.46955714853528174
1.0,1.0,D12,M,0.0009484953703703704,0.465604277615381
1.0,1.0,E01,M,0.0009909722222222223,0.8114518961871714
1.0,1.0,E02,M,0.0010052083333333334,0.7811776152699104
1.0,1.0,E03,M,0.0010194444444444443,0.802603471910434
1.0,1.0,E04,M,0.0010336805555555555,0.8586717978254637
1.0,1.0,E05,M,0.0010479166666666666,0.7528596023866819
1.0,1.0,E06,M,0.0010621527777777777,0.6857477886673703
1.0,1.0,E07,M,0.0010763888888888889,0.9986886988907282
1.0,1.0,E08,M,0.001090625,1.0835203669269058
